geocode,delta_queima,delta_cana_dir,delta_fert_n,delta_calagem,delta_res_outros,balanco_liquido_total,balanco_so_robustos
5207402,167.9365476389066,5116.586894390192,8309.025408583553,394.41225531454603,-557.2989813726502,13430.662124554548,13262.725576915642
5208608,121.41404115047814,3463.1249180736186,5622.501597293986,158.42011884736485,-394.019842247457,8971.440833117991,8850.026791967513
5209101,326.12069886432374,9338.200793207883,15276.44379888751,1160.4413621428898,-1624.6912584431097,24476.5153946595,24150.394695795174
5210000,58.397118587994456,1651.3890695852301,2706.8351321291925,90.78189695369839,-216.24195834571546,4291.1612589104,4232.764140322405
5210109,37.0189287945145,891.3687225287665,1928.0108564544469,1103.9654207792164,-2825.7259032135166,1134.6380253434277,1097.6190965489131
5210901,38.744919186932655,1103.7754940361217,1795.8926773997782,59.34987751164917,-236.9328312071378,2760.830136927344,2722.0852177404113
5211503,333.33575472366755,9518.78272962435,15490.334842171593,630.753645737242,-838.880557020222,25134.326415236632,24800.99066051296
5211701,55.42727361620666,1576.5234678298186,2604.2264589450615,154.13394937387616,-407.5057354624994,3982.805414302463,3927.3781406862563
5211909,189.36625550873265,5862.4007208287085,14793.367489574468,4788.3815875791,-12064.336099261955,13569.179954229056,13379.813698720323
5213103,234.17955318023922,6655.622320677847,12323.375617539317,1789.3469599624075,-4843.782245052924,16158.742206306888,15924.56265312665
5213707,15.7673699897867,431.9120657144187,718.9418297166085,340.3463750666291,-1287.8134643776511,219.15417610979193,203.38680612000508
5213806,126.94416429965317,3513.1410629117836,5804.164370941923,499.9711451505469,-1433.8286530886348,8510.392090215271,8383.44792591562
5216403,93.50674600097132,2570.470558879218,4969.987321640878,1671.8317817565107,-3446.017138583215,5859.779269694363,5766.272523693393
5216452,32.107951557831946,912.5408096370982,2191.948116808458,902.0974371778871,-1840.037445644851,2198.656869536424,2166.548917978592
5218508,519.0637037249011,14336.678971649997,23069.303013309374,728.0069919644449,-1223.0146126134232,37430.0380680353,36910.974364310394
5218904,34.683689134215236,1032.5429088109936,1684.653044809594,38.8405300812085,-203.6554598002468,2587.0647130357647,2552.3810239015493
5219308,189.98716006192822,5420.21177851429,9232.43646123861,922.4299479093144,-1417.3123912712226,14347.752956452921,14157.765796390991
5219712,44.253868537588204,1203.3965347133346,1982.587515245906,116.42162455063843,-200.379849622914,3146.279693424553,3102.025824886965
5221551,129.06493600994781,3752.697480936846,6105.394906662591,420.4797736657331,-542.5885157212211,9865.048581553896,9735.983645543949
5221601,35.02685624490758,995.4990650586526,1622.205029916484,226.01862851409098,-628.9095155494415,2249.8400641846933,2214.8132079397856
5222203,55.25081564857347,1572.374772623032,2588.3017178803834,82.51490127737476,-293.6337949760154,4004.808412453348,3949.557596804774
