Cidade,uf,ano,solos_pipeline,solos_cana_residuo,solos_cana_subproduto,solos_cana_atribuivel,share_cana
Jandaia do Sul (PR),PR,2021,18666.572168756706,894.3313390897436,637.8884286560834,1532.219767745827,0.08208361738264884
Jandaia do Sul (PR),PR,2022,17587.447889721687,848.8079583084129,623.0080634905138,1471.8160217989266,0.08368559389785446
Jandaia do Sul (PR),PR,2023,18313.83105056072,896.8771210745689,701.0084895557535,1597.8856106303224,0.0872502103038348
Jandaia do Sul (PR),PR,2024,22429.053810859565,984.2482552083412,799.5587633405056,1783.8070185488468,0.07953108649127115
Jandira (SP),SP,2012,24.89141300013101,0.0,0.0,0.0,0.0
Jandira (SP),SP,2013,24.870159017334693,0.0,0.0,0.0,0.0
Jandira (SP),SP,2014,25.071863919819748,0.0,0.0,0.0,0.0
Jandira (SP),SP,2015,25.06341900945428,0.0,0.0,0.0,0.0
Jandira (SP),SP,2016,25.54480624612904,0.0,0.0,0.0,0.0
Jandira (SP),SP,2017,25.734712388363956,0.0,0.0,0.0,0.0
Jandira (SP),SP,2018,25.872782002014958,0.0,0.0,0.0,0.0
Jandira (SP),SP,2019,25.99789197639294,0.0,0.0,0.0,0.0
Jandira (SP),SP,2020,25.941571955794114,0.0,0.0,0.0,0.0
Jandira (SP),SP,2021,25.88325508094176,0.0,0.0,0.0,0.0
Jandira (SP),SP,2022,25.799019265628058,0.0,0.0,0.0,0.0
Jandira (SP),SP,2023,25.792539608532266,0.0,0.0,0.0,0.0
Jandira (SP),SP,2024,25.79253954351598,0.0,0.0,0.0,0.0
Jangada (MT),MT,2012,5037.252280705093,131.4043916713457,139.89260089847062,271.2969925698163,0.05385813087206372
Jangada (MT),MT,2013,5147.34978851993,134.04550197753002,128.1850710614957,262.2305730390257,0.05094477426497715
Jangada (MT),MT,2014,5282.489658181782,125.60221672901807,117.45891047123551,243.06112720025357,0.04601260824501349
Jangada (MT),MT,2015,4335.3534779482425,85.22504550314014,73.88600640723095,159.1110519103711,0.03670082560042423
Jangada (MT),MT,2016,5806.58768670356,118.67495384355476,103.47327416106758,222.14822800462235,0.03825796491686797
Jangada (MT),MT,2017,5074.799607830209,117.9172989492435,107.15080053875694,225.06809948800043,0.044350145203907065
Jangada (MT),MT,2018,5567.499548773057,119.96403791468386,109.0589835276546,229.02302144233846,0.04113570543401474
Jangada (MT),MT,2019,5345.021770632063,120.92992968380271,96.88490525551701,217.81483493931972,0.04075097245367488
Jangada (MT),MT,2020,7261.5594512991265,120.92992968380271,104.58810262568332,225.51803230948605,0.031056418916895298
Jangada (MT),MT,2021,7977.591237033428,118.86853698720003,98.83247409707911,217.70101108427914,0.027289065661032053
Jangada (MT),MT,2022,8729.70713201888,128.95113610665,121.77467744280958,250.7258135494596,0.028720987973335978
Jangada (MT),MT,2023,7366.8412334555605,79.5994667325,74.66228954234252,154.26175627484253,0.0209400136892163
Jangada (MT),MT,2024,7590.471854590396,79.5994667325,68.40996547540696,148.00943220790697,0.019499371718030564
Janiópolis (PR),PR,2012,19986.94569330673,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2013,22537.698284735612,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2014,24561.722117202895,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2015,23292.316180618465,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2016,22810.400211189874,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2017,23139.54811372766,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2018,21455.531020027494,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2019,26220.939648064046,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2020,26515.170419909686,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2021,21296.878833408828,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2022,23103.444972294466,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2023,34538.575814375516,0.0,0.0,0.0,0.0
Janiópolis (PR),PR,2024,34209.65222461742,0.0,0.0,0.0,0.0
Januária (MG),MG,2012,14198.026568130914,223.97512217101806,161.43924203115043,385.4143642021685,0.027145629172667902
Januária (MG),MG,2013,14185.914941894845,357.45467194007995,304.79842163782564,662.2530935779056,0.046683847766638795
Januária (MG),MG,2014,11617.814756133715,186.84350986333035,154.02865009523984,340.8721599585702,0.029340471260191518
Januária (MG),MG,2015,10922.785263816062,156.70874374774047,128.91277436835048,285.62151811609095,0.02614914705521769
Januária (MG),MG,2016,13301.699006480378,207.20102041385604,164.28098287410953,371.48200328796554,0.027927410108061036
Januária (MG),MG,2017,11874.151700411745,66.07087403242218,53.528012739692805,119.59888677211498,0.010072204717408807
Januária (MG),MG,2018,12089.850834985122,79.49256464867825,64.03157501293046,143.52413966160873,0.011871456614359904
Januária (MG),MG,2019,11843.48227777002,76.562189880388,67.5898019350709,144.1519918154589,0.012171419556732004
Januária (MG),MG,2020,12171.225276640627,109.0769938485205,92.73589645351534,201.81289030203584,0.0165811482176212
Januária (MG),MG,2021,11669.505534129272,91.347406095194,75.78931909921583,167.13672519440985,0.014322519896459423
Januária (MG),MG,2022,11456.7453542183,93.70831301190216,78.6231772077931,172.33149021969527,0.015041923765569594
Januária (MG),MG,2023,11648.086872754207,110.4705013822099,93.64998254078671,204.1204839229966,0.01752394931054734
Januária (MG),MG,2024,11806.38716427273,99.89916153702238,86.77304774530464,186.672209282327,0.01581112042871296
Japaraíba (MG),MG,2012,22359.775659991024,1590.088982340926,1146.1217548759496,2736.2107372168757,0.12237201208207354
Japaraíba (MG),MG,2013,22176.386983548062,1575.0346482359773,1343.0180453416694,2918.052693577647,0.1315837740269619
Japaraíba (MG),MG,2014,21903.767149264484,1671.0816413401608,1377.5937392893013,3048.675380629462,0.1391849794537208
Japaraíba (MG),MG,2015,21911.055530031237,1549.849475665154,1274.9473385029862,2824.7968141681404,0.12892107412609496
Japaraíba (MG),MG,2016,21765.74395017772,1536.9135689197776,1218.5541904687075,2755.4677593884853,0.12659653470590362
Japaraíba (MG),MG,2017,29941.921250428713,2237.117509378435,1812.4242534378448,4049.5417628162795,0.1352465571245966
Japaraíba (MG),MG,2018,26538.438945815822,2236.3908187828156,1801.4216436971103,4037.8124624799257,0.1521495846354801
Japaraíba (MG),MG,2019,25750.20166479257,2063.0958099768554,1821.3198628103778,3884.4156727872332,0.15084991268624784
Japaraíba (MG),MG,2020,27711.34270689391,2023.10177346325,1720.0158343138635,3743.1176077771133,0.135075288388892
Japaraíba (MG),MG,2021,25093.25021060605,1516.3669411802202,1258.1026970469827,2774.469638227203,0.11056637202997843
Japaraíba (MG),MG,2022,22574.395144573507,1698.463173340727,1425.0450868912503,3123.508260231977,0.13836509196494748
Japaraíba (MG),MG,2023,24635.97574842371,1894.384100257609,1605.9403704601891,3500.3244707177982,0.14208182807379816
Japaraíba (MG),MG,2024,24091.045565473658,1812.762785312916,1574.5772967531316,3387.3400820660477,0.14060577291508886
Japira (PR),PR,2012,6650.655431168918,53.88008303656193,53.97680360771116,107.85688664427309,0.01621748228584986
Japira (PR),PR,2013,6697.354042343288,57.77886491711977,57.18207475133565,114.96093966845541,0.01716512804036153
Japira (PR),PR,2014,7065.8537040150295,62.4951333210204,59.42650142564159,121.921634746662,0.0172550465738319
Japira (PR),PR,2015,8498.595826359984,46.65982767450147,42.39309392125203,89.0529215957535,0.010478545328575247
Japira (PR),PR,2016,7781.764287757291,52.193582601744886,40.39048044827682,92.58406305002171,0.011897567135987422
Japira (PR),PR,2017,10025.950202369375,47.239099527069456,40.39478079089185,87.63388031796131,0.008740705723558381
